时间, 传感器, 数值, 单位
2026-03-02 21:12:24, 亮度, 54, lux
2026-03-02 21:12:34, 温度, 17, ℃
2026-03-02 21:12:34, 湿度, 46, rh%
2026-03-02 21:12:34, 二氧化碳, 350, ppm
2026-03-02 21:12:34, 火焰强度, 1, level
2026-03-02 21:12:34, 亮度, 111, lux
2026-03-02 21:12:44, 温度, 17, ℃
2026-03-02 21:12:44, 湿度, 46, rh%
2026-03-02 21:12:44, 二氧化碳, 350, ppm
2026-03-02 21:12:44, 火焰强度, 1, level
2026-03-02 21:12:44, 亮度, 111, lux
2026-03-02 21:12:54, 温度, 17, ℃
2026-03-02 21:12:54, 湿度, 46, rh%
2026-03-02 21:12:54, 二氧化碳, 350, ppm
2026-03-02 21:12:54, 火焰强度, 1, level
2026-03-02 21:12:54, 亮度, 111, lux
2026-03-02 21:13:04, 温度, 17, ℃
2026-03-02 21:13:04, 湿度, 46, rh%
2026-03-02 21:13:04, 二氧化碳, 350, ppm
2026-03-02 21:13:04, 火焰强度, 1, level
2026-03-02 21:13:04, 亮度, 111, lux
2026-03-02 21:13:14, 温度, 17, ℃
2026-03-02 21:13:14, 湿度, 46, rh%
2026-03-02 21:13:14, 二氧化碳, 350, ppm
2026-03-02 21:13:14, 火焰强度, 1, level
2026-03-02 21:13:14, 亮度, 111, lux
2026-03-02 21:13:24, 温度, 17, ℃
2026-03-02 21:13:24, 湿度, 46, rh%
2026-03-02 21:13:24, 二氧化碳, 350, ppm
2026-03-02 21:13:24, 火焰强度, 1, level
2026-03-02 21:13:24, 亮度, 111, lux
2026-03-02 21:13:34, 温度, 17, ℃
2026-03-02 21:13:34, 湿度, 46, rh%
2026-03-02 21:13:34, 二氧化碳, 350, ppm
2026-03-02 21:13:34, 火焰强度, 1, level
2026-03-02 21:13:34, 亮度, 111, lux
2026-03-02 21:13:44, 温度, 17, ℃
2026-03-02 21:13:44, 湿度, 46, rh%
2026-03-02 21:13:44, 二氧化碳, 350, ppm
2026-03-02 21:13:44, 火焰强度, 1, level
2026-03-02 21:13:44, 亮度, 111, lux
2026-03-02 21:13:54, 温度, 17, ℃
2026-03-02 21:13:54, 湿度, 46, rh%
2026-03-02 21:13:54, 二氧化碳, 350, ppm
2026-03-02 21:13:54, 火焰强度, 1, level
2026-03-02 21:13:54, 亮度, 111, lux
2026-03-02 21:14:04, 温度, 17, ℃
2026-03-02 21:14:04, 湿度, 46, rh%
2026-03-02 21:14:04, 二氧化碳, 350, ppm
2026-03-02 21:14:04, 火焰强度, 1, level
2026-03-02 21:14:04, 亮度, 111, lux
2026-03-02 21:14:14, 温度, 17, ℃
2026-03-02 21:14:14, 湿度, 46, rh%
2026-03-02 21:14:14, 二氧化碳, 350, ppm
2026-03-02 21:14:14, 火焰强度, 1, level
2026-03-02 21:14:14, 亮度, 111, lux
2026-03-02 21:14:24, 温度, 17, ℃
2026-03-02 21:14:24, 湿度, 46, rh%
2026-03-02 21:14:24, 二氧化碳, 350, ppm
2026-03-02 21:14:24, 火焰强度, 1, level
2026-03-02 21:14:24, 亮度, 111, lux
2026-03-02 21:14:34, 温度, 17, ℃
2026-03-02 21:14:34, 湿度, 46, rh%
2026-03-02 21:14:34, 二氧化碳, 350, ppm
2026-03-02 21:14:34, 火焰强度, 1, level
2026-03-02 21:14:34, 亮度, 111, lux
2026-03-02 21:14:44, 温度, 17, ℃
2026-03-02 21:14:44, 湿度, 46, rh%
2026-03-02 21:14:44, 二氧化碳, 350, ppm
2026-03-02 21:14:44, 火焰强度, 1, level
2026-03-02 21:14:44, 亮度, 111, lux
2026-03-02 21:14:54, 温度, 17, ℃
2026-03-02 21:14:54, 湿度, 46, rh%
2026-03-02 21:14:54, 二氧化碳, 350, ppm
2026-03-02 21:14:54, 火焰强度, 1, level
2026-03-02 21:14:54, 亮度, 111, lux
2026-03-02 21:15:04, 温度, 17, ℃
2026-03-02 21:15:04, 湿度, 46, rh%
2026-03-02 21:15:04, 二氧化碳, 350, ppm
2026-03-02 21:15:04, 火焰强度, 1, level
2026-03-02 21:15:04, 亮度, 111, lux
2026-03-02 21:15:14, 温度, 17, ℃
2026-03-02 21:15:14, 湿度, 46, rh%
2026-03-02 21:15:14, 二氧化碳, 350, ppm
2026-03-02 21:15:14, 火焰强度, 1, level
2026-03-02 21:15:14, 亮度, 111, lux
2026-03-02 21:15:24, 温度, 17, ℃
2026-03-02 21:15:24, 湿度, 46, rh%
2026-03-02 21:15:24, 二氧化碳, 350, ppm
2026-03-02 21:15:24, 火焰强度, 1, level
2026-03-02 21:15:24, 亮度, 111, lux
2026-03-02 21:15:34, 温度, 17, ℃
2026-03-02 21:15:34, 湿度, 46, rh%
2026-03-02 21:15:34, 二氧化碳, 350, ppm
2026-03-02 21:15:34, 火焰强度, 1, level
2026-03-02 21:15:34, 亮度, 111, lux
2026-03-02 21:15:44, 温度, 17, ℃
2026-03-02 21:15:44, 湿度, 46, rh%
2026-03-02 21:15:44, 二氧化碳, 350, ppm
2026-03-02 21:15:44, 火焰强度, 1, level
2026-03-02 21:15:44, 亮度, 111, lux
2026-03-02 21:15:54, 温度, 17, ℃
2026-03-02 21:15:54, 湿度, 46, rh%
2026-03-02 21:15:54, 二氧化碳, 350, ppm
2026-03-02 21:15:54, 火焰强度, 1, level
2026-03-02 21:15:54, 亮度, 111, lux
2026-03-02 21:16:04, 温度, 17, ℃
2026-03-02 21:16:04, 湿度, 46, rh%
2026-03-02 21:16:04, 二氧化碳, 350, ppm
2026-03-02 21:16:04, 火焰强度, 1, level
2026-03-02 21:16:04, 亮度, 111, lux
2026-03-02 21:16:14, 温度, 17, ℃
2026-03-02 21:16:14, 湿度, 46, rh%
2026-03-02 21:16:14, 二氧化碳, 350, ppm
2026-03-02 21:16:14, 火焰强度, 1, level
2026-03-02 21:16:14, 亮度, 111, lux
2026-03-02 21:16:24, 温度, 17, ℃
2026-03-02 21:16:24, 湿度, 46, rh%
2026-03-02 21:16:24, 二氧化碳, 350, ppm
2026-03-02 21:16:24, 火焰强度, 1, level
2026-03-02 21:16:24, 亮度, 111, lux
2026-03-02 21:16:34, 温度, 17, ℃
2026-03-02 21:16:34, 湿度, 46, rh%
2026-03-02 21:16:34, 二氧化碳, 350, ppm
2026-03-02 21:16:34, 火焰强度, 1, level
2026-03-02 21:16:34, 亮度, 111, lux
2026-03-02 21:16:45, 温度, 17, ℃
2026-03-02 21:16:45, 湿度, 46, rh%
2026-03-02 21:16:45, 二氧化碳, 350, ppm
2026-03-02 21:16:45, 火焰强度, 1, level
2026-03-02 21:16:45, 亮度, 111, lux
2026-03-02 21:16:55, 温度, 17, ℃
2026-03-02 21:16:55, 湿度, 46, rh%
2026-03-02 21:16:55, 二氧化碳, 350, ppm
2026-03-02 21:16:55, 火焰强度, 1, level
2026-03-02 21:16:55, 亮度, 111, lux
2026-03-02 21:17:05, 温度, 17, ℃
2026-03-02 21:17:05, 湿度, 46, rh%
2026-03-02 21:17:05, 二氧化碳, 350, ppm
2026-03-02 21:17:05, 火焰强度, 1, level
2026-03-02 21:17:05, 亮度, 111, lux
2026-03-02 21:17:15, 温度, 17, ℃
2026-03-02 21:17:15, 湿度, 46, rh%
2026-03-02 21:17:15, 二氧化碳, 350, ppm
2026-03-02 21:17:15, 火焰强度, 1, level
2026-03-02 21:17:15, 亮度, 111, lux
2026-03-02 21:17:25, 温度, 17, ℃
2026-03-02 21:17:25, 湿度, 46, rh%
2026-03-02 21:17:25, 二氧化碳, 350, ppm
2026-03-02 21:17:25, 火焰强度, 1, level
2026-03-02 21:17:25, 亮度, 111, lux
2026-03-02 21:17:35, 温度, 17, ℃
2026-03-02 21:17:35, 湿度, 46, rh%
2026-03-02 21:17:35, 二氧化碳, 350, ppm
2026-03-02 21:17:35, 火焰强度, 1, level
2026-03-02 21:17:35, 亮度, 111, lux
2026-03-02 21:17:45, 温度, 17, ℃
2026-03-02 21:17:45, 湿度, 46, rh%
2026-03-02 21:17:45, 二氧化碳, 350, ppm
2026-03-02 21:17:45, 火焰强度, 1, level
2026-03-02 21:17:45, 亮度, 111, lux
2026-03-02 21:17:55, 温度, 17, ℃
2026-03-02 21:17:55, 湿度, 46, rh%
2026-03-02 21:17:55, 二氧化碳, 350, ppm
2026-03-02 21:17:55, 火焰强度, 1, level
2026-03-02 21:17:55, 亮度, 111, lux
2026-03-02 21:18:05, 温度, 17, ℃
2026-03-02 21:18:05, 湿度, 46, rh%
2026-03-02 21:18:05, 二氧化碳, 350, ppm
2026-03-02 21:18:05, 火焰强度, 1, level
2026-03-02 21:18:05, 亮度, 111, lux
2026-03-02 21:18:15, 温度, 17, ℃
2026-03-02 21:18:15, 湿度, 46, rh%
2026-03-02 21:18:15, 二氧化碳, 350, ppm
2026-03-02 21:18:15, 火焰强度, 1, level
2026-03-02 21:18:15, 亮度, 111, lux
2026-03-02 21:18:25, 温度, 17, ℃
2026-03-02 21:18:25, 湿度, 46, rh%
2026-03-02 21:18:25, 二氧化碳, 350, ppm
2026-03-02 21:18:25, 火焰强度, 1, level
2026-03-02 21:18:25, 亮度, 111, lux
2026-03-02 21:18:35, 温度, 17, ℃
2026-03-02 21:18:35, 湿度, 46, rh%
2026-03-02 21:18:35, 二氧化碳, 350, ppm
2026-03-02 21:18:35, 火焰强度, 1, level
2026-03-02 21:18:35, 亮度, 111, lux
2026-03-02 21:18:45, 温度, 17, ℃
2026-03-02 21:18:45, 湿度, 46, rh%
2026-03-02 21:18:45, 二氧化碳, 350, ppm
2026-03-02 21:18:45, 火焰强度, 1, level
2026-03-02 21:18:45, 亮度, 111, lux
2026-03-02 21:18:55, 温度, 17, ℃
2026-03-02 21:18:55, 湿度, 46, rh%
2026-03-02 21:18:55, 二氧化碳, 350, ppm
2026-03-02 21:18:55, 火焰强度, 1, level
2026-03-02 21:18:55, 亮度, 111, lux
2026-03-02 21:19:05, 温度, 17, ℃
2026-03-02 21:19:05, 湿度, 46, rh%
2026-03-02 21:19:05, 二氧化碳, 350, ppm
2026-03-02 21:19:05, 火焰强度, 1, level
2026-03-02 21:19:05, 亮度, 111, lux
2026-03-02 21:19:15, 温度, 17, ℃
2026-03-02 21:19:15, 湿度, 46, rh%
2026-03-02 21:19:15, 二氧化碳, 350, ppm
2026-03-02 21:19:15, 火焰强度, 1, level
2026-03-02 21:19:15, 亮度, 111, lux
2026-03-02 21:19:25, 温度, 17, ℃
2026-03-02 21:19:25, 湿度, 46, rh%
2026-03-02 21:19:25, 二氧化碳, 350, ppm
2026-03-02 21:19:25, 火焰强度, 1, level
2026-03-02 21:19:25, 亮度, 111, lux
2026-03-02 21:19:35, 温度, 17, ℃
2026-03-02 21:19:35, 湿度, 46, rh%
2026-03-02 21:19:35, 二氧化碳, 350, ppm
2026-03-02 21:19:35, 火焰强度, 1, level
2026-03-02 21:19:35, 亮度, 111, lux
2026-03-02 21:19:45, 温度, 17, ℃
2026-03-02 21:19:45, 湿度, 46, rh%
2026-03-02 21:19:45, 二氧化碳, 350, ppm
2026-03-02 21:19:45, 火焰强度, 1, level
2026-03-02 21:19:45, 亮度, 111, lux
2026-03-02 21:19:55, 温度, 17, ℃
2026-03-02 21:19:55, 湿度, 46, rh%
2026-03-02 21:19:55, 二氧化碳, 350, ppm
2026-03-02 21:19:55, 火焰强度, 1, level
2026-03-02 21:19:55, 亮度, 111, lux
2026-03-02 21:20:05, 温度, 17, ℃
2026-03-02 21:20:05, 湿度, 46, rh%
2026-03-02 21:20:05, 二氧化碳, 350, ppm
2026-03-02 21:20:05, 火焰强度, 1, level
2026-03-02 21:20:05, 亮度, 111, lux
2026-03-02 21:20:15, 温度, 17, ℃
2026-03-02 21:20:15, 湿度, 46, rh%
2026-03-02 21:20:15, 二氧化碳, 350, ppm
2026-03-02 21:20:15, 火焰强度, 1, level
2026-03-02 21:20:15, 亮度, 111, lux
2026-03-02 21:20:25, 温度, 17, ℃
2026-03-02 21:20:25, 湿度, 46, rh%
2026-03-02 21:20:25, 二氧化碳, 350, ppm
2026-03-02 21:20:25, 火焰强度, 1, level
2026-03-02 21:20:25, 亮度, 111, lux
2026-03-02 21:20:35, 温度, 17, ℃
2026-03-02 21:20:35, 湿度, 46, rh%
2026-03-02 21:20:35, 二氧化碳, 350, ppm
2026-03-02 21:20:35, 火焰强度, 1, level
2026-03-02 21:20:35, 亮度, 111, lux
2026-03-02 21:20:45, 温度, 17, ℃
2026-03-02 21:20:45, 湿度, 46, rh%
2026-03-02 21:20:45, 二氧化碳, 350, ppm
2026-03-02 21:20:45, 火焰强度, 1, level
2026-03-02 21:20:45, 亮度, 111, lux
2026-03-02 21:20:55, 温度, 17, ℃
2026-03-02 21:20:55, 湿度, 46, rh%
2026-03-02 21:20:55, 二氧化碳, 350, ppm
2026-03-02 21:20:55, 火焰强度, 1, level
2026-03-02 21:20:55, 亮度, 111, lux
2026-03-02 21:21:05, 温度, 17, ℃
2026-03-02 21:21:05, 湿度, 46, rh%
2026-03-02 21:21:05, 二氧化碳, 350, ppm
2026-03-02 21:21:05, 火焰强度, 1, level
2026-03-02 21:21:05, 亮度, 111, lux
2026-03-02 21:21:15, 温度, 17, ℃
2026-03-02 21:21:15, 湿度, 46, rh%
2026-03-02 21:21:15, 二氧化碳, 350, ppm
2026-03-02 21:21:15, 火焰强度, 1, level
2026-03-02 21:21:15, 亮度, 111, lux
2026-03-02 21:21:25, 温度, 17, ℃
2026-03-02 21:21:25, 湿度, 46, rh%
2026-03-02 21:21:25, 二氧化碳, 350, ppm
2026-03-02 21:21:25, 火焰强度, 1, level
2026-03-02 21:21:25, 亮度, 111, lux
2026-03-02 21:21:35, 温度, 17, ℃
2026-03-02 21:21:35, 湿度, 46, rh%
2026-03-02 21:21:35, 二氧化碳, 350, ppm
2026-03-02 21:21:35, 火焰强度, 1, level
2026-03-02 21:21:35, 亮度, 111, lux
2026-03-02 21:21:45, 温度, 17, ℃
2026-03-02 21:21:45, 湿度, 46, rh%
2026-03-02 21:21:45, 二氧化碳, 350, ppm
2026-03-02 21:21:45, 火焰强度, 1, level
2026-03-02 21:21:45, 亮度, 111, lux
2026-03-02 21:21:55, 温度, 17, ℃
2026-03-02 21:21:55, 湿度, 46, rh%
2026-03-02 21:21:55, 二氧化碳, 350, ppm
2026-03-02 21:21:55, 火焰强度, 1, level
2026-03-02 21:21:55, 亮度, 111, lux
2026-03-02 21:22:05, 温度, 17, ℃
2026-03-02 21:22:05, 湿度, 46, rh%
2026-03-02 21:22:05, 二氧化碳, 350, ppm
2026-03-02 21:22:05, 火焰强度, 1, level
2026-03-02 21:22:05, 亮度, 111, lux
2026-03-02 21:22:15, 温度, 17, ℃
2026-03-02 21:22:15, 湿度, 46, rh%
2026-03-02 21:22:15, 二氧化碳, 350, ppm
2026-03-02 21:22:15, 火焰强度, 1, level
2026-03-02 21:22:15, 亮度, 111, lux
2026-03-02 21:22:25, 温度, 17, ℃
2026-03-02 21:22:25, 湿度, 46, rh%
2026-03-02 21:22:25, 二氧化碳, 350, ppm
2026-03-02 21:22:25, 火焰强度, 1, level
2026-03-02 21:22:25, 亮度, 111, lux
2026-03-02 21:22:35, 温度, 17, ℃
2026-03-02 21:22:35, 湿度, 46, rh%
2026-03-02 21:22:35, 二氧化碳, 350, ppm
2026-03-02 21:22:35, 火焰强度, 1, level
2026-03-02 21:22:35, 亮度, 111, lux
2026-03-02 21:22:45, 温度, 17, ℃
2026-03-02 21:22:45, 湿度, 46, rh%
2026-03-02 21:22:45, 二氧化碳, 350, ppm
2026-03-02 21:22:45, 火焰强度, 1, level
2026-03-02 21:22:45, 亮度, 111, lux
2026-03-02 21:22:55, 温度, 17, ℃
2026-03-02 21:22:55, 湿度, 46, rh%
2026-03-02 21:22:55, 二氧化碳, 350, ppm
2026-03-02 21:22:55, 火焰强度, 1, level
2026-03-02 21:22:55, 亮度, 111, lux
2026-03-02 21:23:05, 温度, 17, ℃
2026-03-02 21:23:05, 湿度, 46, rh%
2026-03-02 21:23:05, 二氧化碳, 350, ppm
2026-03-02 21:23:05, 火焰强度, 1, level
2026-03-02 21:23:05, 亮度, 111, lux
2026-03-02 21:23:15, 温度, 17, ℃
2026-03-02 21:23:15, 湿度, 46, rh%
2026-03-02 21:23:15, 二氧化碳, 350, ppm
2026-03-02 21:23:15, 火焰强度, 1, level
2026-03-02 21:23:15, 亮度, 111, lux
2026-03-02 21:23:25, 温度, 17, ℃
2026-03-02 21:23:25, 湿度, 46, rh%
2026-03-02 21:23:25, 二氧化碳, 350, ppm
2026-03-02 21:23:25, 火焰强度, 1, level
2026-03-02 21:23:25, 亮度, 111, lux
2026-03-02 21:23:35, 温度, 17, ℃
2026-03-02 21:23:35, 湿度, 46, rh%
2026-03-02 21:23:35, 二氧化碳, 350, ppm
2026-03-02 21:23:35, 火焰强度, 1, level
2026-03-02 21:23:35, 亮度, 111, lux
2026-03-02 21:23:45, 温度, 17, ℃
2026-03-02 21:23:45, 湿度, 46, rh%
2026-03-02 21:23:45, 二氧化碳, 350, ppm
2026-03-02 21:23:45, 火焰强度, 1, level
2026-03-02 21:23:45, 亮度, 111, lux
2026-03-02 21:23:55, 温度, 17, ℃
2026-03-02 21:23:55, 湿度, 46, rh%
2026-03-02 21:23:55, 二氧化碳, 350, ppm
2026-03-02 21:23:55, 火焰强度, 1, level
2026-03-02 21:23:55, 亮度, 111, lux
2026-03-02 21:24:05, 温度, 17, ℃
2026-03-02 21:24:05, 湿度, 46, rh%
2026-03-02 21:24:05, 二氧化碳, 350, ppm
2026-03-02 21:24:05, 火焰强度, 1, level
2026-03-02 21:24:05, 亮度, 111, lux
2026-03-02 21:24:15, 温度, 17, ℃
2026-03-02 21:24:15, 湿度, 46, rh%
2026-03-02 21:24:15, 二氧化碳, 350, ppm
2026-03-02 21:24:15, 火焰强度, 1, level
2026-03-02 21:24:15, 亮度, 111, lux
2026-03-02 21:24:25, 温度, 17, ℃
2026-03-02 21:24:25, 湿度, 46, rh%
2026-03-02 21:24:25, 二氧化碳, 350, ppm
2026-03-02 21:24:25, 火焰强度, 1, level
2026-03-02 21:24:25, 亮度, 111, lux
2026-03-02 21:24:35, 温度, 17, ℃
2026-03-02 21:24:35, 湿度, 46, rh%
2026-03-02 21:24:35, 二氧化碳, 350, ppm
2026-03-02 21:24:35, 火焰强度, 1, level
2026-03-02 21:24:35, 亮度, 111, lux
2026-03-02 21:24:45, 温度, 17, ℃
2026-03-02 21:24:45, 湿度, 46, rh%
2026-03-02 21:24:45, 二氧化碳, 350, ppm
2026-03-02 21:24:45, 火焰强度, 1, level
2026-03-02 21:24:45, 亮度, 111, lux
2026-03-02 21:24:55, 温度, 17, ℃
2026-03-02 21:24:55, 湿度, 46, rh%
2026-03-02 21:24:55, 二氧化碳, 350, ppm
2026-03-02 21:24:55, 火焰强度, 1, level
2026-03-02 21:24:55, 亮度, 111, lux
2026-03-02 21:25:05, 温度, 17, ℃
2026-03-02 21:25:05, 湿度, 46, rh%
2026-03-02 21:25:05, 二氧化碳, 350, ppm
2026-03-02 21:25:05, 火焰强度, 1, level
2026-03-02 21:25:05, 亮度, 111, lux
2026-03-02 21:25:15, 温度, 17, ℃
2026-03-02 21:25:15, 湿度, 46, rh%
2026-03-02 21:25:15, 二氧化碳, 350, ppm
2026-03-02 21:25:15, 火焰强度, 1, level
2026-03-02 21:25:15, 亮度, 111, lux
2026-03-02 21:25:25, 温度, 17, ℃
2026-03-02 21:25:25, 湿度, 46, rh%
2026-03-02 21:25:25, 二氧化碳, 350, ppm
2026-03-02 21:25:25, 火焰强度, 1, level
2026-03-02 21:25:25, 亮度, 111, lux
2026-03-02 21:25:35, 温度, 17, ℃
2026-03-02 21:25:35, 湿度, 46, rh%
2026-03-02 21:25:35, 二氧化碳, 350, ppm
2026-03-02 21:25:35, 火焰强度, 1, level
2026-03-02 21:25:35, 亮度, 111, lux
2026-03-02 21:25:45, 温度, 17, ℃
2026-03-02 21:25:45, 湿度, 46, rh%
2026-03-02 21:25:45, 二氧化碳, 350, ppm
2026-03-02 21:25:45, 火焰强度, 1, level
2026-03-02 21:25:45, 亮度, 111, lux
2026-03-02 21:25:55, 温度, 17, ℃
2026-03-02 21:25:55, 湿度, 46, rh%
2026-03-02 21:25:55, 二氧化碳, 350, ppm
2026-03-02 21:25:55, 火焰强度, 1, level
2026-03-02 21:25:55, 亮度, 111, lux
2026-03-02 21:26:05, 温度, 17, ℃
2026-03-02 21:26:05, 湿度, 46, rh%
2026-03-02 21:26:05, 二氧化碳, 350, ppm
2026-03-02 21:26:05, 火焰强度, 1, level
2026-03-02 21:26:05, 亮度, 111, lux
2026-03-02 21:26:15, 温度, 17, ℃
2026-03-02 21:26:15, 湿度, 46, rh%
2026-03-02 21:26:15, 二氧化碳, 350, ppm
2026-03-02 21:26:15, 火焰强度, 1, level
2026-03-02 21:26:15, 亮度, 111, lux
2026-03-02 21:26:25, 温度, 17, ℃
2026-03-02 21:26:25, 湿度, 46, rh%
2026-03-02 21:26:25, 二氧化碳, 350, ppm
2026-03-02 21:26:25, 火焰强度, 1, level
2026-03-02 21:26:25, 亮度, 111, lux
2026-03-02 21:26:35, 温度, 17, ℃
2026-03-02 21:26:35, 湿度, 46, rh%
2026-03-02 21:26:35, 二氧化碳, 350, ppm
2026-03-02 21:26:35, 火焰强度, 1, level
2026-03-02 21:26:35, 亮度, 111, lux
2026-03-02 21:26:45, 温度, 17, ℃
2026-03-02 21:26:45, 湿度, 46, rh%
2026-03-02 21:26:45, 二氧化碳, 350, ppm
2026-03-02 21:26:45, 火焰强度, 1, level
2026-03-02 21:26:45, 亮度, 111, lux
2026-03-02 21:26:56, 温度, 17, ℃
2026-03-02 21:26:56, 湿度, 46, rh%
2026-03-02 21:26:56, 二氧化碳, 350, ppm
2026-03-02 21:26:56, 火焰强度, 1, level
2026-03-02 21:26:56, 亮度, 111, lux
2026-03-02 21:27:06, 温度, 17, ℃
2026-03-02 21:27:06, 湿度, 46, rh%
2026-03-02 21:27:06, 二氧化碳, 350, ppm
2026-03-02 21:27:06, 火焰强度, 1, level
2026-03-02 21:27:06, 亮度, 111, lux
2026-03-02 21:27:16, 温度, 17, ℃
2026-03-02 21:27:16, 湿度, 46, rh%
2026-03-02 21:27:16, 二氧化碳, 350, ppm
2026-03-02 21:27:16, 火焰强度, 1, level
2026-03-02 21:27:16, 亮度, 111, lux
2026-03-02 21:27:26, 温度, 17, ℃
2026-03-02 21:27:26, 湿度, 46, rh%
2026-03-02 21:27:26, 二氧化碳, 350, ppm
2026-03-02 21:27:26, 火焰强度, 1, level
2026-03-02 21:27:26, 亮度, 111, lux
2026-03-02 21:27:36, 温度, 17, ℃
2026-03-02 21:27:36, 湿度, 46, rh%
2026-03-02 21:27:36, 二氧化碳, 350, ppm
2026-03-02 21:27:36, 火焰强度, 1, level
2026-03-02 21:27:36, 亮度, 111, lux
2026-03-02 21:27:46, 温度, 17, ℃
2026-03-02 21:27:46, 湿度, 46, rh%
2026-03-02 21:27:46, 二氧化碳, 350, ppm
2026-03-02 21:27:46, 火焰强度, 1, level
2026-03-02 21:27:46, 亮度, 111, lux
2026-03-02 21:27:56, 温度, 17, ℃
2026-03-02 21:27:56, 湿度, 46, rh%
2026-03-02 21:27:56, 二氧化碳, 350, ppm
2026-03-02 21:27:56, 火焰强度, 1, level
2026-03-02 21:27:56, 亮度, 111, lux
2026-03-02 21:28:06, 温度, 17, ℃
2026-03-02 21:28:06, 湿度, 46, rh%
2026-03-02 21:28:06, 二氧化碳, 350, ppm
2026-03-02 21:28:06, 火焰强度, 1, level
2026-03-02 21:28:06, 亮度, 111, lux
2026-03-02 21:28:16, 温度, 17, ℃
2026-03-02 21:28:16, 湿度, 46, rh%
2026-03-02 21:28:16, 二氧化碳, 350, ppm
2026-03-02 21:28:16, 火焰强度, 1, level
2026-03-02 21:28:16, 亮度, 111, lux
2026-03-02 21:28:26, 温度, 17, ℃
2026-03-02 21:28:26, 湿度, 46, rh%
2026-03-02 21:28:26, 二氧化碳, 350, ppm
2026-03-02 21:28:26, 火焰强度, 1, level
2026-03-02 21:28:26, 亮度, 111, lux
2026-03-02 21:28:36, 温度, 17, ℃
2026-03-02 21:28:36, 湿度, 46, rh%
2026-03-02 21:28:36, 二氧化碳, 350, ppm
2026-03-02 21:28:36, 火焰强度, 1, level
2026-03-02 21:28:36, 亮度, 111, lux
2026-03-02 21:28:46, 温度, 17, ℃
2026-03-02 21:28:46, 湿度, 46, rh%
2026-03-02 21:28:46, 二氧化碳, 350, ppm
2026-03-02 21:28:46, 火焰强度, 1, level
2026-03-02 21:28:46, 亮度, 111, lux
2026-03-02 21:31:40, 温度, 17, ℃
2026-03-02 21:31:40, 湿度, 46, rh%
2026-03-02 21:31:40, 二氧化碳, 350, ppm
2026-03-02 21:31:40, 火焰强度, 1, level
2026-03-02 21:31:40, 亮度, 111, lux
2026-03-02 21:31:50, 温度, 17, ℃
2026-03-02 21:31:50, 湿度, 46, rh%
2026-03-02 21:31:50, 二氧化碳, 350, ppm
2026-03-02 21:31:50, 火焰强度, 1, level
2026-03-02 21:31:50, 亮度, 111, lux
2026-03-02 21:32:00, 温度, 17, ℃
2026-03-02 21:32:00, 湿度, 46, rh%
2026-03-02 21:32:00, 二氧化碳, 350, ppm
2026-03-02 21:32:00, 火焰强度, 1, level
2026-03-02 21:32:00, 亮度, 111, lux
2026-03-02 21:32:10, 温度, 17, ℃
2026-03-02 21:32:10, 湿度, 46, rh%
2026-03-02 21:32:10, 二氧化碳, 350, ppm
2026-03-02 21:32:10, 火焰强度, 1, level
2026-03-02 21:32:10, 亮度, 111, lux
2026-03-02 21:32:20, 温度, 17, ℃
2026-03-02 21:32:20, 湿度, 46, rh%
2026-03-02 21:32:20, 二氧化碳, 350, ppm
2026-03-02 21:32:20, 火焰强度, 1, level
2026-03-02 21:32:20, 亮度, 111, lux
2026-03-02 21:32:30, 温度, 17, ℃
2026-03-02 21:32:30, 湿度, 46, rh%
2026-03-02 21:32:30, 二氧化碳, 350, ppm
2026-03-02 21:32:30, 火焰强度, 1, level
2026-03-02 21:32:30, 亮度, 111, lux
2026-03-02 21:32:40, 温度, 17, ℃
2026-03-02 21:32:40, 湿度, 46, rh%
2026-03-02 21:32:40, 二氧化碳, 350, ppm
2026-03-02 21:32:40, 火焰强度, 1, level
2026-03-02 21:32:40, 亮度, 111, lux
2026-03-02 21:32:50, 温度, 17, ℃
2026-03-02 21:32:50, 湿度, 46, rh%
2026-03-02 21:32:50, 二氧化碳, 350, ppm
2026-03-02 21:32:50, 火焰强度, 1, level
2026-03-02 21:32:50, 亮度, 111, lux
2026-03-02 21:33:00, 温度, 17, ℃
2026-03-02 21:33:00, 湿度, 46, rh%
2026-03-02 21:33:00, 二氧化碳, 350, ppm
2026-03-02 21:33:00, 火焰强度, 1, level
2026-03-02 21:33:00, 亮度, 111, lux
2026-03-02 21:33:10, 温度, 17, ℃
2026-03-02 21:33:10, 湿度, 46, rh%
2026-03-02 21:33:10, 二氧化碳, 350, ppm
2026-03-02 21:33:10, 火焰强度, 1, level
2026-03-02 21:33:10, 亮度, 111, lux
2026-03-02 21:33:20, 温度, 17, ℃
2026-03-02 21:33:20, 湿度, 46, rh%
2026-03-02 21:33:20, 二氧化碳, 350, ppm
2026-03-02 21:33:20, 火焰强度, 1, level
2026-03-02 21:33:20, 亮度, 111, lux
2026-03-02 21:33:30, 温度, 17, ℃
2026-03-02 21:33:30, 湿度, 46, rh%
2026-03-02 21:33:30, 二氧化碳, 350, ppm
2026-03-02 21:33:30, 火焰强度, 1, level
2026-03-02 21:33:30, 亮度, 111, lux
2026-03-02 21:33:40, 温度, 17, ℃
2026-03-02 21:33:40, 湿度, 46, rh%
2026-03-02 21:33:40, 二氧化碳, 350, ppm
